,0,1,2,3
intercept,0.8605808804238414,-0.5796070676549828,0.7671429075851783,-1.0481167203540362
age,0.04346971278682507,-0.07989665003771834,-0.0725570112348053,0.10898394848569878
sex,-0.09739078099512197,-0.012781415689639955,-0.08987487749811728,0.20004707418287868
trtbps,0.019634084510894052,-0.1554628480442446,-0.01864372682157321,0.1544724903549252
chol,0.023523406970410672,0.13625957478386683,-0.011989424574012884,-0.14779355718026335
fbs,-0.45411297982932197,-0.03528491973425847,0.5000380351246514,-0.01064013556107089
restecg,0.21158000477215388,0.04217014334938862,-0.023481922409262203,-0.23026822571227912
thalachh,-0.19673918130073056,0.10270222559761266,-0.062412101413591534,0.15644905711670903
exng,0.7423057196026062,-0.41845922741914,-0.7283258711857634,0.40447937900229847
oldpeak,-0.1628069576252081,-0.8474042278855585,0.020947661395799216,0.9892635241149688
slp,-0.1795627424651728,0.1804102227732762,-0.010335431324395508,0.009487951016291914
caa,0.2802848686644265,0.1612094502784831,-0.08076672979761396,-0.3607275891452963
thall,0.0824369934646009,-0.42956585584566837,0.35197450579394357,-0.0048456434128761414
output,-0.7952970578074156,0.26848481361445753,0.15874696739944072,0.36806527679351575
